stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,level_id
210,,Lesík delostrelcov  *,,48.992401,21.24954,1,,0,,,0,,
211,,Fakultná nemocnica,,48.996342,21.25268,1,,0,,,0,,
212,,Detská nemocnica,,48.998581,21.25086,1,,0,,,0,,
214,,Duklianska  *,,49.002789,21.24157,1,,0,,,0,,
215,,Trojica,,48.99918,21.23978,1,,0,,,0,,
216,,Na Hlavnej,,48.99601,21.241751,1,,0,,,0,,
217,,Veľká pošta,,48.991531,21.24534,1,,0,,,0,,
218,,Čierny most,,48.98983,21.24662,1,,0,,,0,,
219,,Škultétyho,,48.987511,21.242611,1,,0,,,0,,
220,,Prešovská univerzita,,48.989811,21.23567,1,,0,,,0,,
221,,Duchnovičovo nám.,,48.993382,21.232691,1,,0,,,0,,
222,,Námestie mládeže  *,,48.995491,21.229509,1,,0,,,0,,
223,,Herlianska  *,,49.019329,21.2934,1,,0,,,0,,
224,,Clementisova,,49.001701,21.22402,1,,0,,,0,,
225,,Volgogradská,,49.003502,21.220699,1,,0,,,0,,
226,,Nám.Kráľ.pokoja,,49.007,21.221399,1,,0,,,0,,
227,,Kanaš-Stráže,,49.065849,21.230261,2,,0,,,0,,
228,,Stará škola  *,,49.06123,21.228081,2,,0,,,0,,
229,,Medzi jarkami  *,,49.05825,21.230379,2,,0,,,0,,
230,,Pri kostole  *,,49.056702,21.23266,2,,0,,,0,,
231,,Husí hrb  *,,49.05352,21.23222,2,,0,,,0,,
232,,Kozí rožok  *,,49.047859,21.22418,2,,0,,,0,,
233,,Rázcestie Kanaš  *,,49.04298,21.21077,2,,0,,,0,,
236,,Dúbrava  *,,49.024891,21.232121,1,,0,,,0,,
237,,Rázc.Šidlovec  *,,49.021332,21.23514,1,,0,,,0,,
238,,Pod Skalkou  *,,49.014938,21.236629,1,,0,,,0,,
239,,Mičurinova  *,,49.0112,21.236719,1,,0,,,0,,
240,,"Sabinovská, futbal aréna",,49.00563,21.23838,1,,0,,,0,,
241,,Železničná stanica,,48.982948,21.249901,1,,0,,,0,,
242,,Nový Solivar  *,,48.978828,21.251011,1,,0,,,0,,
243,,Košická  *,,48.971371,21.252701,1,,0,,,0,,
244,,ZVL  *,,48.968601,21.251301,1,,0,,,0,,
245,,Petrovianska  *,,48.954979,21.257521,1,,0,,,0,,
247,,Logistické centrum  *,,48.950951,21.26252,1,,0,,,0,,
248,,Rázc.Záborské  *,,48.947021,21.28787,2,,0,,,0,,
249,,Záborské-stred  *,,48.94487,21.28932,2,,0,,,0,,
250,,Záborské,,48.942429,21.28776,2,,0,,,0,,
251,,Kúty  *,,49.022381,21.252411,1,,0,,,0,,
252,,Rybníčky  *,,49.01944,21.25029,1,,0,,,0,,
253,,Koryto  *,,49.014481,21.247869,1,,0,,,0,,
254,,Pod Šibeňou  *,,49.01062,21.2474,1,,0,,,0,,
255,,K Surdoku  *,,49.00869,21.248159,1,,0,,,0,,
256,,Pri lipe  *,,49.058071,21.2822,2,,0,,,0,,
